STOP_ID,HASTUS_CROSS_STREET_NAME,lat,lon,ROUTE_NUM
40093,null,null,null,240
40097,null,null,null,240
59938,null,null,null,102
59938,null,null,null,148
59938,null,null,null,160
60479,null,null,null,162
60479,null,null,null,168
60480,null,null,null,168
60482,null,null,null,162
60482,null,null,null,165
60484,null,null,null,165
60485,null,null,null,168
60486,null,null,null,165
11690,null,null,null,14
11700,null,null,null,14
11720,null,null,null,14
11730,null,null,null,14
11750,null,null,null,14
11770,null,null,null,14
13080,null,null,null,3
13090,null,null,null,3
13190,null,null,null,12
40101,null,null,null,240
40103,null,null,null,240
41430,null,null,null,45
41450,null,null,null,45
41740,null,null,null,107
41740,null,null,null,124
41740,null,null,null,60
60487,null,null,null,165
60489,null,null,null,168
61090,null,null,null,156
61090,null,null,null,161
61090,null,null,null,A
3160,null,null,null,2
3190,null,null,null,2
3200,null,null,null,2
3210,null,null,null,2
3220,null,null,null,2
3230,null,null,null,2
3240,null,null,null,2
5580,null,null,null,345
5580,null,null,null,5
5590,null,null,null,345
5590,null,null,null,5
13200,null,null,null,12
13210,null,null,null,12
13220,null,null,null,12
13230,null,null,null,12
13240,null,null,null,12
13250,null,null,null,12
13260,null,null,null,12
15211,null,null,null,21
15212,null,null,null,21
15230,null,null,null,21
15230,null,null,null,50
41750,null,null,null,107
41750,null,null,null,60
41760,null,null,null,107
41760,null,null,null,60
41780,null,null,null,107
41780,null,null,null,60
41800,null,null,null,107
41800,null,null,null,60
61100,null,null,null,A
61996,null,null,null,182
61997,null,null,null,182
61998,null,null,null,182
61999,null,null,null,182
62002,null,null,null,903
5610,null,null,null,5
5630,null,null,null,5
5640,null,null,null,5
5660,null,null,null,5
5670,null,null,null,5
7350,null,null,null,62
7360,null,null,null,62
16990,null,null,null,345
16990,null,null,null,365
16990,null,null,null,40
17010,null,null,null,345
17010,null,null,null,365
17010,null,null,null,40
17022,null,null,null,345
17022,null,null,null,365
17022,null,null,null,40
17022,null,null,null,61
17024,null,null,null,345
17024,null,null,null,365
17024,null,null,null,40
17024,null,null,null,61
43765,null,null,null,4
43765,null,null,null,8
43770,null,null,null,8
45870,null,null,null,131
45870,null,null,null,132
45880,null,null,null,131
45880,null,null,null,132
45900,null,null,null,131
45900,null,null,null,132
45910,null,null,null,131
45910,null,null,null,132
45920,null,null,null,131
45920,null,null,null,132
62004,null,null,null,903
62005,null,null,null,903
62338,null,null,null,269
62339,null,null,null,269
62341,null,null,null,269
62370,null,null,null,204
62370,null,null,null,630
62380,null,null,null,204
62380,null,null,null,630
7380,null,null,null,62
7382,null,null,null,62
7430,null,null,null,131
7430,null,null,null,132
7430,null,null,null,21
7430,null,null,null,28E
7430,null,null,null,5
7430,null,null,null,E
9050,null,null,null,7
9060,null,null,null,7
9080,null,null,null,7
9090,null,null,null,7
17040,null,null,null,61
17070,null,null,null,45
17080,null,null,null,45
18505,null,null,null,62
18530,null,null,null,62
18540,null,null,null,62
18550,null,null,null,62
45940,null,null,null,131
45940,null,null,null,132
45960,null,null,null,131
45960,null,null,null,132
63680,null,null,null,204
63685,null,null,null,204
63690,null,null,null,204
63714,null,null,null,630
63732,null,null,null,204
63733,null,null,null,204
63735,null,null,null,204
63736,null,null,null,204
63737,null,null,null,204
9110,null,null,null,7
9132,null,null,null,45
9132,null,null,null,75
9132,null,null,null,79
9133,null,null,null,75
9133,null,null,null,79
9134,null,null,null,75
9134,null,null,null,79
10400,null,null,null,79
10410,null,null,null,79
10420,null,null,null,79
10430,null,null,null,79
10445,null,null,null,79
18580,null,null,null,62
18590,null,null,null,62
18600,null,null,null,31
18600,null,null,null,32
18610,null,null,null,31
18610,null,null,null,32
18620,null,null,null,31
18620,null,null,null,32
20170,null,null,null,C
20190,null,null,null,C
20220,null,null,null,C
47320,null,null,null,165
48660,null,null,null,165
48670,null,null,null,165
48680,null,null,null,165
48690,null,null,null,165
48710,null,null,null,165
48720,null,null,null,165
48730,null,null,null,165
48740,null,null,null,165
70120,null,null,null,231
70130,null,null,null,230
70130,null,null,null,231
70140,null,null,null,230
70140,null,null,null,231
70832,null,null,null,245
70835,null,null,null,245
70837,null,null,null,245
71832,null,null,null,222
71833,null,null,null,222
71834,null,null,null,222
71835,null,null,null,222
71836,null,null,null,222
70150,null,null,null,230
70150,null,null,null,231
70150,null,null,null,255
70151,null,null,null,255
70160,null,null,null,230
70160,null,null,null,231
70160,null,null,null,255
70164,null,null,null,230
70164,null,null,null,231
70164,null,null,null,255
70170,null,null,null,230
70170,null,null,null,231
70170,null,null,null,255
70180,null,null,null,230
70180,null,null,null,231
70180,null,null,null,255
70826,null,null,null,245
70828,null,null,null,245
