STOP_ID,HASTUS_CROSS_STREET_NAME,XCOORD,YCOORD,ROUTE_LIST,lon,lat
58570,Florence St,1349630.0,77564.0,null,-122.00316716398535,47.20657589583153
58580,Farrelly St,1348311.8,77581.9,null,-122.00847055543133,47.206569905895705
59390,103rd Ave SE,1301276.6,164515.7,null,-122.20388389486679,47.442731382021655
59391,105th Pl SE,1302103.1,165221.1,null,-122.20059514559581,47.44470522453274
59400,106th Pl SE,1302570.8,165378.6,null,-122.19871666997247,47.44515970433711
59410,108th Ave SE,1303187.1,165404.1,null,-122.19622827752126,47.44525954934704
59420,110th Ave SE,1303806.8,165386.6,null,-122.19372306578404,47.44524163895848
59430,113th Pl SE,1304809.0,165351.6,null,-122.18967107839427,47.445194195841864
102,4th Ave,1270461.7,225011.0,null,-122.33314858673067,47.6069745369106
103,8th Ave,1271423.5,225580.3,null,-122.3292952456838,47.608586290334635
1070,Terry Ave,1270817.2,227911.9,null,-122.33193672224944,47.61494480025787
1071,Convention Pl,1270896.3,226659.3,null,-122.33151721641526,47.61151568341267
1072,Pike St,1270936.1,226803.9,null,-122.33136730279418,47.611914151620105
1073,Boren Ave,1271270.9,228185.9,null,-122.33011918876572,47.61572003109208
1075,Pine St,1270758.3,227434.7,null,-122.33213780281416,47.61363366513922
1078,Pine St,1270755.9,227438.7,null,-122.33214784714195,47.61364450088145
1080,Pine St,1270662.7,227596.3,null,-122.33253808412448,47.61407150104705
1081,9th Ave,1270824.3,227421.2,null,-122.33186920334172,47.61360018545829
1082,ST Light Rail,1270915.1,227500.6,null,-122.33150740847589,47.61382266480035
1083,ST Light Rail,1270915.2,227500.6,null,-122.33150700312021,47.61382267013708
1084,ST Light Rail,1270909.4,227498.1,null,-122.33153031643701,47.61381550817948
1085,9th Ave,1270656.2,227321.7,null,-122.33254274484082,47.613318483765795
30710,S Stacy St,1271288.1,215578.0,null,-122.32905599488674,47.58116304559766
30720,S Lander St,1271275.2,214924.4,null,-122.32905678515566,47.57937085814443
30730,S Forest St,1271261.8,214249.0,null,-122.32905788421115,47.57751889079141
30740,S Hanford St,1271247.4,213553.0,null,-122.32906141179326,47.575610406064456
30748,S Horton St,1271241.3,213216.1,null,-122.3290595938896,47.57468664709903
32160,East Marginal Way S,1274844.5,197800.4,null,-122.313263780745,47.53262349755442
32165,16th Ave S,1275170.7,198132.7,null,-122.3119694081428,47.5335515159366
32170,16th Ave S,1275244.6,198065.7,null,-122.31166510036064,47.53337176190329
32180,S 81st Pl,1276686.4,196712.9,null,-122.30572489735957,47.529739526890914
32181,Boeing AcRd,1277196.5,195834.3,null,-122.30359255860405,47.52735802731279
32182,S 87th Pl,1277660.2,194717.8,null,-122.30162981036644,47.52432197881469
32190,S 90th St,1277904.7,194126.1,null,-122.30059475261088,47.522712916815564
32191,Access Rd,1278146.0,193546.6,null,-122.29957364783814,47.521137118392
57090,Jason Ave N,1295606.0,144161.9,null,-122.225307613126,47.38666171045825
57100,Summit Ave N,1297504.2,144163.6,null,-122.21764650588575,47.386760232749
57462,S 231st St,1288408.3,147444.4,null,-122.25460234045755,47.39529847496527
57463,S 228th St,1288426.3,148383.7,null,-122.25459971397498,47.39787402270615
57464,S 226th St,1288420.7,149305.7,null,-122.25469107222857,47.40040095628167
57465,S 216th St,1288468.6,152110.5,null,-122.2547068571205,47.40809138576612
57466,S 208th St,1290198.2,155353.1,null,-122.24796398820456,47.41706678231837
